"","customer_no","payment_history_avg_dpd_0_29_bucket","total_diff_lastpaymt_opened_dt","min_months_last_30_plus","utilisation_trend","ratio_currbalance_creditlimit","mean_diff_lastpaymt_opened_dt","payment_history_mean_length"
"1","1","0.3125","18790","0","3.56146907216495","29.6737329252577","1342.14285714286","74.0625"
"2","2","1","817","36","","","817","108"
"3","3","0.181818181818182","17925","0","8.36265060240964","19.4049136546185","1629.54545454545","82.0909090909091"
"4","4","0.36","37136","1","8.59848783783784","2.4667107027027","1547.33333333333","60.12"
"5","5","0.5","29539","4","4.796875","0.120416666666667","4923.16666666667","75"
"6","6","0.5","8407","5","3.192","16.3022141463415","1681.4","98"
"7","7","","751","8","2","0.126017","375.5","40.5"
"8","8","0.5","22219","0","4.70285911016949","0.445266242937853","1234.38888888889","48.6666666666667"
"9","9","0.444444444444444","5787","1","7.5","0.0616666666666667","723.375","30.6666666666667"
"10","10","0.518518518518518","31471","0","4.64615749525617","2.54868058191018","1210.42307692308","64.5555555555556"
"11","11","0.285714285714286","18756","15","7.7","0.04429","2679.42857142857","76.2857142857143"
"12","12","0.464285714285714","33433","1","12.7770114942529","33.1064620689655","1337.32","46.6071428571429"
"13","13","0.6","5218","17","2.5","0.347101666666667","1043.6","75.6"
"14","14","0.5","4861","17","2","4.73851489361702","1215.25","93.75"
"15","15","0.142857142857143","18912","7","11.2","-0.032","2701.71428571429","49.7142857142857"
"16","16","0.357142857142857","24172","1","7.28","10.6858","1859.38461538462","67.2857142857143"
"17","17","0.6","4501","4","","","1125.25","77.4"
"18","18","0.153846153846154","22428","1","10.4053388090349","0.0128357289527721","1725.23076923077","80.3076923076923"
"19","19","0.384615384615385","22573","1","8.08258299226921","7.83746793997271","1026.04545454545","62.5384615384615"
"20","20","0.5","32146","1","62","1349.69541333333","526.983606557377","34.5967741935484"
"21","21","0.25","6393","36","","","1598.25","82.5"
"22","22","0.545454545454545","9519","2","8.525","0.079988","951.9","50.7272727272727"
"23","23","","4099","36","2.43090659340659","1.0989010989011e-05","1366.33333333333","108"
"24","24","0.222222222222222","7238","1","2.23586833144154","0.000913356034808929","904.75","67.3333333333333"
"25","25","0.369230769230769","87378","0","9.80504316648582","119.641392060197","1456.3","66.5076923076923"
"26","26","0.222222222222222","40594","1","3.58882673174395","0.880595006570302","2387.88235294118","68.6666666666667"
"27","27","","1815","22","","","907.5","87"
"28","28","0.307692307692308","18050","4","","","1504.16666666667","63.9230769230769"
"29","29","","8509","12","3.5","18.2374031746032","1215.57142857143","81.8571428571429"
"30","30","0.363636363636364","14885","1","6.22285714285714","0.167491428571429","1488.5","74.1818181818182"
"31","31","0.666666666666667","4448","7","3.999999","0.258107","1482.66666666667","74"
"32","32","0.333333333333333","3859","1","","0","964.75","67"
"33","33","0.25","25965","0","5.53139356814701","6.71631202143951","1731","58.875"
"34","34","0.391304347826087","66096","1","5.94498472505092","0.864804989816701","3004.36363636364","67.9565217391304"
"35","35","1","2893","3","","","482.166666666667","35.5"
"36","36","0.368421052631579","21973","1","8.27022653721683","0.926726213592233","1464.86666666667","45.4736842105263"
"37","37","0.6875","16900","1","16","113.89089","1056.25","63"
"38","38","0.333333333333333","9719","9","6.01423177393103","0.260411783965346","1214.875","71.3333333333333"
"39","39","0.590909090909091","16622","1","7.2064681724846","12.401839835729","791.52380952381","52.7727272727273"
"40","40","0.5","45512","1","4.178046989721","3.10671806167401","1625.42857142857","63.7"
"41","41","1","409","1","4.16877637130802","1.54077637130802","136.333333333333","12"
"42","42","0.363636363636364","13343","7","2.94899497487437","2.70520603015075","1213","76.0909090909091"
"43","43","0.464285714285714","37159","2","9.05538461538461","44.823232967033","1376.25925925926","55.7142857142857"
"44","44","0.4","15223","4","2.72766801756163","1.95019700551615","1014.86666666667","89.4"
