"","customer_no","count_enquiry_recency_365","mean_diff_open_enquiry_dt","max_freq_enquiry","count_enquiry_recency_90","perc_unsecured_others"
"1","1","3","1343.57575757576","2","0","0.0909090909090909"
"2","2","0","1370.5","10","0","0"
"3","3","1","1914.70588235294","2","1","0.0588235294117647"
"4","4","2","2016.4","5","0","0.08"
"5","5","2","633.8","51","0","0.4"
"6","6","2","1128.30769230769","10","0","0.230769230769231"
"7","7","3","453.666666666667","10","0","0.111111111111111"
"8","8","1","1905.45454545455","10","1","0"
"9","9","2","1894.58823529412","10","0","0.117647058823529"
"10","10","8","1779.68","5","0","0.02"
"11","11","2","437.5","51","1","0.25"
"12","12","13","997.036363636364","0","6","0.0909090909090909"
"13","13","1","1128.22222222222","51","0","0.444444444444444"
"14","14","1","1551.41666666667","51","0","0.416666666666667"
"15","15","0","2891","1","0","1"
"16","16","2","1718.1724137931","51","0","0.103448275862069"
"17","17","2","1399.5","10","0","0.166666666666667"
"18","18","2","1698.63157894737","0","1","0.210526315789474"
"19","19","6","1796.27777777778","10","1","0.0833333333333333"
"20","20","34","1172.35714285714","10","7","0.0535714285714286"
"21","21","","","","",""
"22","22","1","2158.3","10","1","0.1"
"23","23","0","3309","10","0","0"
"24","24","3","1513.80952380952","10","1","0.0952380952380952"
"25","25","38","1554.86124401914","2","17","0.0239234449760766"
"26","26","5","1042.85185185185","10","2","0.111111111111111"
"27","27","0","994","1","0","0.5"
"28","28","7","1220.61111111111","10","1","0.166666666666667"
"29","29","0","1804","2","0","0.428571428571429"
"30","30","3","1610.92857142857","10","1","0.142857142857143"
"31","31","0","1308","10","0","0"
"32","32","2","684","10","1","0.4"
"33","33","1","1715.6","10","1","0.114285714285714"
"34","34","0","2392.30769230769","10","0","0.153846153846154"
"35","35","9","672.954545454545","51","1","0.227272727272727"
"36","36","5","1613.2380952381","10","1","0.19047619047619"
"37","37","8","1167.14814814815","3","3","0.148148148148148"
"38","38","3","1410.375","10","2","0.125"
"39","39","15","1170.44736842105","2","1","0.0526315789473684"
"40","40","5","1799.93333333333","10","0","0.0666666666666667"
"41","41","5","932.125","10","0","0.25"
"42","42","0","1678","10","0","0.0714285714285714"
"43","43","6","1756.85416666667","1","0","0.104166666666667"
"44","44","0","2298.78048780488","10","0","0.0487804878048781"
"45","45","7","1395.04166666667","10","2","0.0833333333333333"
"46","46","0","998","10","0","0"
"47","47","8","1361.87096774194","10","2","0.0645161290322581"
"48","48","5","847.5","10","3","0.125"
"49","49","1","692.857142857143","10","0","0.142857142857143"
"50","50","1","690.333333333333","10","0","0.111111111111111"
"51","51","1","814.818181818182","10","1","0"
"52","52","4","377.75","10","2","0"
"53","53","1","314","10","0","0"
"54","54","4","2105","10","0","0"
"55","55","13","1098.75","10","5","0.0277777777777778"
